,time,open,high,low,close,tick_volume,spread,real_volume
0,1580688000,9347.25,9592.44,9200.25,9261.25,526838,0,4299151
1,1580774400,9276.75,9330.25,9059.45,9117.25,551460,0,4302000
2,1580860800,9107.31,9758.49,9104.75,9668.24,960508,0,4305000
3,1580947200,9572.74,9846.24,9507.99,9722.24,1584884,0,4306301
4,1581033600,9730.49,9865.99,9628.24,9729.74,2359234,0,4305000
5,1581292800,10066.74,10182.74,9678.24,9853.99,622286,0,4318654
6,1581379200,9818.24,10371.24,9692.74,10223.99,735926,0,4306252
7,1581465600,10227.99,10473.74,10142.74,10377.24,864702,0,4306652
8,1581552000,10324.74,10505.75,10057.24,10165.25,881378,0,4307499
9,1581638400,10165.5,10381.75,10070.25,10334.13,894776,0,4308000
10,1581897600,9685.75,9991.0,9453.25,9626.0,583046,0,4314555
11,1581984000,9608.75,10272.25,9591.25,10149.5,539316,0,4307204
12,1582070400,10149.75,10298.5,9268.25,9603.25,493912,0,4337428
13,1582156800,9539.22,9721.26,9309.75,9591.75,685970,0,4343011
14,1582243200,9611.25,9757.75,9493.25,9656.0,413256,0,4305000
15,1582502400,9846.93,10015.25,9464.75,9589.5,1305426,0,4305000
16,1582588800,9570.4,9670.75,9214.25,9277.25,682192,0,4305000
17,1582675200,9326.95,9412.75,8560.75,8737.5,854786,0,4309502
18,1582761600,8744.75,8958.0,8504.75,8734.72,643870,0,4305000
19,1582848000,8739.0,8887.0,8414.0,8648.25,1391766,0,4308001
20,1583107200,8490.86,8936.25,8469.75,8916.25,1320760,0,4307651
21,1583193600,8900.99,8956.75,8638.75,8724.75,356014,0,4305000
22,1583280000,8694.24,8834.5,8652.5,8729.25,386176,0,4305952
23,1583366400,8717.25,9160.25,8698.72,9097.0,1374712,0,4305000
24,1583452800,9075.38,9170.46,8981.46,9124.5,904678,0,4305000
25,1583712000,8238.75,8269.5,7615.24,7816.75,1759640,0,4299000
26,1583798400,7816.5,8140.9,7682.71,7954.5,1085962,0,4308102
27,1583884800,7954.75,8005.5,7569.5,7795.0,1100346,0,4305000
28,1583971200,7797.75,7974.5,5541.75,5784.75,1564964,0,4803358
29,1584057600,5786.25,5975.25,3770.12,5447.75,1999662,0,5110900
30,1584316800,5888.36,5888.36,4409.25,4932.67,1555256,0,4366322
31,1584403200,4930.67,5551.0,4846.08,5443.0,889168,0,4310983
32,1584489600,5443.25,5471.5,4996.73,5358.25,671566,0,4309902
33,1584576000,5359.0,6385.97,5249.5,6245.0,715876,0,4305627
34,1584662400,6245.25,6909.95,5581.25,5947.59,867178,0,4142729
35,1584921600,6048.49,6614.14,5658.59,6455.25,743070,0,4308937
36,1585008000,6455.25,6842.25,6352.95,6701.25,864862,0,4305000
37,1585094400,6700.75,6972.43,6435.17,6588.5,794544,0,4305000
38,1585180800,6588.5,6783.5,6493.77,6722.75,461312,0,4305000
39,1585267200,6723.0,6859.25,6566.75,6666.5,289746,0,4140000
40,1585526400,5892.12,6511.68,5764.06,6467.0,370024,0,4312849
41,1585612800,6458.05,6604.19,6326.0,6368.73,419592,0,4305000
42,1585699200,6450.02,6482.75,6138.0,6241.78,347492,0,4308751
43,1585785600,6365.11,7245.4,6302.56,6631.78,535554,0,4308833
44,1585872000,6685.72,7036.57,6591.5,6686.75,784570,0,4307559
45,1586131200,6722.41,7311.25,6712.25,7183.69,698138,0,4305000
46,1586217600,7218.78,7455.25,7057.0,7110.0,657352,0,4305000
47,1586304000,7087.51,7417.0,7068.6,7308.25,584608,0,4302000
48,1586390400,7313.79,7385.0,7088.5,7286.25,1113542,0,4305000
49,1586476800,7268.46,7313.75,6733.3,6947.0,1237886,0,4305000
50,1586736000,7076.54,7138.75,6551.87,6810.75,930490,0,4308832
51,1586822400,6842.9,6976.75,6756.5,6862.75,1146294,0,4305000
52,1586908800,6829.87,6929.5,6671.75,6737.0,802036,0,4305000
53,1586995200,6731.27,7142.24,6455.5,7049.66,1185348,0,4305838
54,1587081600,7009.13,7202.25,6978.89,7042.25,671230,0,4305000
55,1587340800,7124.09,7218.5,6738.65,6852.79,635954,0,4305000
56,1587427200,6846.91,6944.0,6754.0,6872.39,553782,0,4305000
57,1587513600,6861.11,7158.94,6808.75,7104.92,522394,0,4305000
58,1587600000,7088.53,7754.63,7013.75,7528.25,463896,0,4307583
59,1587686400,7530.25,7605.25,7369.17,7498.0,491080,0,4305000
60,1587945600,7625.93,7801.75,7575.0,7698.75,361322,0,4305000
61,1588032000,7679.08,7782.0,7652.95,7720.75,311102,0,4305000
62,1588118400,7713.0,8966.2,7699.76,8923.75,560974,0,4309436
63,1588204800,8775.03,9462.03,8388.7,8791.46,835140,0,4315663
64,1588291200,8761.71,9059.0,8571.55,8725.19,766626,0,4308771
65,1588550400,8796.33,8955.0,8518.9,8907.75,646692,0,4305000
66,1588636800,8900.32,9112.3,8738.5,8944.75,581504,0,4302000
67,1588723200,8965.25,9389.2,8903.0,9244.2,682850,0,4305181
68,1588809600,9221.81,9960.0,9004.5,9797.75,787600,0,4309577
69,1588896000,9741.18,10064.75,9714.05,9984.5,605020,0,4305000
70,1589155200,8709.3,9167.85,8133.75,8625.75,992248,0,4394124
71,1589241600,8626.68,8969.75,8452.5,8810.75,882668,0,4304012
72,1589328000,8786.56,9336.5,8725.0,9287.25,718380,0,4305000
73,1589414400,9305.35,9913.55,9243.0,9640.23,988588,0,4333606
74,1589500800,9603.04,9841.0,9063.0,9231.25,1323148,0,4309003
75,1589760000,9706.45,9950.8,9404.8,9667.75,737222,0,4307385
76,1589846400,9663.25,9885.75,9440.15,9674.75,647948,0,4305861
77,1589932800,9666.75,9827.25,9255.6,9577.25,671820,0,4305743
78,1590019200,9552.16,9578.28,8777.15,9042.75,880168,0,4306051
79,1590105600,9016.6,9254.25,8910.0,9195.22,631730,0,4305000
80,1590364800,8984.77,9069.75,8614.45,8906.4,478040,0,4308243
81,1590451200,8892.06,9003.25,8680.5,8847.75,435782,0,4325315
82,1590537600,8830.03,9219.95,8788.25,9153.75,436076,0,4310021
83,1590624000,9127.16,9524.75,9036.25,9429.25,464378,0,4306031
84,1590710400,9419.5,9612.5,9305.45,9398.75,498326,0,4305000
85,1590969600,9460.99,9689.25,9367.5,9666.25,433150,0,4302000
86,1591056000,9628.3,10381.85,9214.55,9431.99,577978,0,4361619
87,1591142400,9487.04,9635.75,9362.47,9568.25,497994,0,4305000
88,1591228800,9561.25,9878.0,9438.3,9777.75,493676,0,4306972
89,1591315200,9766.5,9849.5,9537.5,9696.25,483834,0,4305000
90,1591574400,9678.25,9797.8,9628.0,9686.25,276322,0,4305000
91,1591660800,9681.75,9879.25,9506.25,9741.5,338616,0,4309776
92,1591747200,9742.0,9988.0,9607.75,9852.25,360430,0,4312114
93,1591833600,9859.75,9961.45,8993.7,9321.7,448348,0,4311573
94,1591920000,9309.06,9540.0,9213.5,9447.75,328808,0,4305000
95,1592179200,9364.75,9475.5,8879.35,9463.75,404460,0,4305000
96,1592265600,9480.25,9577.75,9365.0,9479.38,288738,0,4305000
97,1592352000,9486.5,9550.75,9215.66,9355.75,265216,0,4305000
98,1592438400,9344.43,9466.25,9281.0,9321.75,222390,0,4305000
99,1592524800,9294.95,9418.25,9204.85,9299.25,265082,0,4305000
100,1592784000,9297.75,9656.25,9253.75,9628.75,262746,0,4305000
101,1592870400,9662.7,9766.75,9557.0,9615.75,145016,0,4281000
102,1592956800,9607.25,9652.25,9174.6,9271.0,202662,0,4305000
103,1593043200,9267.75,9307.25,8968.3,9256.0,195208,0,4305000
104,1593129600,9256.0,9331.0,9011.25,9179.25,243480,0,4305000
105,1593388800,9088.0,9179.75,9000.25,9167.75,207826,0,4305000
106,1593475200,9192.95,9222.25,9036.0,9135.25,244584,0,4305000
107,1593561600,9137.95,9285.0,9072.5,9218.5,189612,0,4305000
108,1593648000,9223.75,9251.75,8920.65,9071.5,221288,0,4305000
109,1593734400,9067.75,9137.25,9027.25,9077.25,142158,0,4305000
110,1593993600,9007.09,9342.25,8884.4,9273.25,202934,0,4305000
111,1594080000,9260.0,9370.0,9185.25,9236.0,154626,0,4305000
112,1594166400,9239.25,9463.05,9213.5,9420.25,195730,0,4305000
